food_id,canonical_name_tr,canonical_name_en,food_slug,portion_id,size_class,grams,household_measure,image_path,image_prompt,consistency_note,nutrition_source,nutrition_source_id,image_source,image_license,attribution,generation_model,generation_seed,generation_date,visual_status,reviewer_notes,source_name,source_record_id,source_url,source_release,source_page_or_table,nutrition_source_url,retrieved_at,reviewed_by,reviewed_at,verification_status,transformation_notes
,"Peynir, beyaz, tam yağlı","White cheese, full fat","beyaz-peynir",,"small","40.0",,"food-portions/beyaz-peynir/beyaz-peynir--small--40g.webp","Photorealistic overhead food reference photograph of White cheese, full fat, representing the SMALL controlled portion of 40 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of White cheese, full fat are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 40 g / 60 g / 90 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","01.02.0004",,,,,,,"missing","TürKomp record is 'yağ, kuru maddede > %45'. Confirm the app's default white cheese should be full-fat rather than the half-fat 01.02.0020 record before publishing.","TÜBER 2022 Ek 2.1 — Standart porsiyon ölçüleri ve miktarları","Beyaz peynir, tam yağlı","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.1.1 (s.262), Ek 2.1.3 (s.264), Ek 2.1.5 (s.266); Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-peynir-beyaz-tam-yagli-yag-kuru-maddede---45-8","2026-08-18T20:30:00Z",,,"needs_review","small = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_cheese), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_cheese), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 01.02.0004; no scaling applied."
,"Peynir, beyaz, tam yağlı","White cheese, full fat","beyaz-peynir",,"regular","60.0","3 parmak veya 2 kibrit kutusu veya 60 g","food-portions/beyaz-peynir/beyaz-peynir--regular--60g.webp","Photorealistic overhead food reference photograph of White cheese, full fat, representing the REGULAR controlled portion of 60 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of White cheese, full fat are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 40 g / 60 g / 90 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","01.02.0004",,,,,,,"missing","TürKomp record is 'yağ, kuru maddede > %45'. Confirm the app's default white cheese should be full-fat rather than the half-fat 01.02.0020 record before publishing.","TÜBER 2022 Ek 2.1 — Standart porsiyon ölçüleri ve miktarları","Beyaz peynir, tam yağlı","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.1.1 (s.262), Ek 2.1.3 (s.264), Ek 2.1.5 (s.266); Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-peynir-beyaz-tam-yagli-yag-kuru-maddede---45-8","2026-08-18T20:30:00Z",,,"needs_review","small = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_cheese), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_cheese), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 01.02.0004; no scaling applied."
,"Peynir, beyaz, tam yağlı","White cheese, full fat","beyaz-peynir",,"large","90.0",,"food-portions/beyaz-peynir/beyaz-peynir--large--90g.webp","Photorealistic overhead food reference photograph of White cheese, full fat, representing the LARGE controlled portion of 90 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of White cheese, full fat are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 40 g / 60 g / 90 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","01.02.0004",,,,,,,"missing","TürKomp record is 'yağ, kuru maddede > %45'. Confirm the app's default white cheese should be full-fat rather than the half-fat 01.02.0020 record before publishing.","TÜBER 2022 Ek 2.1 — Standart porsiyon ölçüleri ve miktarları","Beyaz peynir, tam yağlı","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.1.1 (s.262), Ek 2.1.3 (s.264), Ek 2.1.5 (s.266); Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-peynir-beyaz-tam-yagli-yag-kuru-maddede---45-8","2026-08-18T20:30:00Z",,,"needs_review","small = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_cheese), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_cheese), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 01.02.0004; no scaling applied."
,"Beyaz pirinç, pişmiş (yağ ilavesi hariç)","White rice, cooked (added cooking fat excluded)","pirinc-pisirilmis",,"small","90.0",,"food-portions/pirinc-pisirilmis/pirinc-pisirilmis--small--90g.webp","Photorealistic overhead food reference photograph of White rice, cooked (added cooking fat excluded), representing the SMALL controlled portion of 90 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of White rice, cooked (added cooking fat excluded) are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 90 g / 180 g / 270 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Beyaz pirinç, pişmiş",,,,,,,"missing","Blocks the colloquial 'pilav' alias. Either source a pilav (tereyağlı) composition or ship this as an explicitly fat-free cooked-rice reference.","TÜBER 2022 Ek 2.1 — Standart porsiyon ölçüleri ve miktarları","Beyaz pirinç, pişmiş","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.1.1 (s.262), Ek 2.1.3 (s.264), Ek 2.1.5 (s.266); Ek 2.3.1 (s.283-284)","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","2026-08-18T20:30:00Z",,,"needs_review","regular = published TÜBER standard portion (90 g) x 2.0. The multiplier is published by TÜBER Ek 2.1.5 footnote 4, which states that a home second-course serving of rice/bulgur/pasta equals 2 standard portions. | small = the published 1-standard-portion garnish weight (90 g), not a derived value. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category grain_cooked), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is TÜBER Ek 2.3.1 per-portion values for ""Beyaz pirinç, pişmiş"" (90 g) divided by the portion weight to reach per 100 g. TÜBER prints carbohydrate and fat as whole grams, so the per-100 g values inherit that precision limit."
,"Beyaz pirinç, pişmiş (yağ ilavesi hariç)","White rice, cooked (added cooking fat excluded)","pirinc-pisirilmis",,"regular","180.0","½ kupa veya 1 silme orta kepçe 7 veya 4-5 yemek kaşığı veya 90g","food-portions/pirinc-pisirilmis/pirinc-pisirilmis--regular--180g.webp","Photorealistic overhead food reference photograph of White rice, cooked (added cooking fat excluded), representing the REGULAR controlled portion of 180 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of White rice, cooked (added cooking fat excluded) are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 90 g / 180 g / 270 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Beyaz pirinç, pişmiş",,,,,,,"missing","Blocks the colloquial 'pilav' alias. Either source a pilav (tereyağlı) composition or ship this as an explicitly fat-free cooked-rice reference.","TÜBER 2022 Ek 2.1 — Standart porsiyon ölçüleri ve miktarları","Beyaz pirinç, pişmiş","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.1.1 (s.262), Ek 2.1.3 (s.264), Ek 2.1.5 (s.266); Ek 2.3.1 (s.283-284)","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","2026-08-18T20:30:00Z",,,"needs_review","regular = published TÜBER standard portion (90 g) x 2.0. The multiplier is published by TÜBER Ek 2.1.5 footnote 4, which states that a home second-course serving of rice/bulgur/pasta equals 2 standard portions. | small = the published 1-standard-portion garnish weight (90 g), not a derived value. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category grain_cooked), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is TÜBER Ek 2.3.1 per-portion values for ""Beyaz pirinç, pişmiş"" (90 g) divided by the portion weight to reach per 100 g. TÜBER prints carbohydrate and fat as whole grams, so the per-100 g values inherit that precision limit."
,"Beyaz pirinç, pişmiş (yağ ilavesi hariç)","White rice, cooked (added cooking fat excluded)","pirinc-pisirilmis",,"large","270.0",,"food-portions/pirinc-pisirilmis/pirinc-pisirilmis--large--270g.webp","Photorealistic overhead food reference photograph of White rice, cooked (added cooking fat excluded), representing the LARGE controlled portion of 270 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of White rice, cooked (added cooking fat excluded) are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 90 g / 180 g / 270 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Beyaz pirinç, pişmiş",,,,,,,"missing","Blocks the colloquial 'pilav' alias. Either source a pilav (tereyağlı) composition or ship this as an explicitly fat-free cooked-rice reference.","TÜBER 2022 Ek 2.1 — Standart porsiyon ölçüleri ve miktarları","Beyaz pirinç, pişmiş","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.1.1 (s.262), Ek 2.1.3 (s.264), Ek 2.1.5 (s.266); Ek 2.3.1 (s.283-284)","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","2026-08-18T20:30:00Z",,,"needs_review","regular = published TÜBER standard portion (90 g) x 2.0. The multiplier is published by TÜBER Ek 2.1.5 footnote 4, which states that a home second-course serving of rice/bulgur/pasta equals 2 standard portions. | small = the published 1-standard-portion garnish weight (90 g), not a derived value. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category grain_cooked), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is TÜBER Ek 2.3.1 per-portion values for ""Beyaz pirinç, pişmiş"" (90 g) divided by the portion weight to reach per 100 g. TÜBER prints carbohydrate and fat as whole grams, so the per-100 g values inherit that precision limit."
,"Bulgur, pişmiş (yağ ilavesi hariç)","Bulgur, cooked (added cooking fat excluded)","bulgur-pisirilmis",,"small","90.0",,"food-portions/bulgur-pisirilmis/bulgur-pisirilmis--small--90g.webp","Photorealistic overhead food reference photograph of Bulgur, cooked (added cooking fat excluded), representing the SMALL controlled portion of 90 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Bulgur, cooked (added cooking fat excluded) are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 90 g / 180 g / 270 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Bulgur, pişmiş",,,,,,,"missing","Same fat caveat as cooked rice. Decide whether the catalog needs a separate 'bol sebzeli bulgur pilavı' record.","TÜBER 2022 Ek 2.1 — Standart porsiyon ölçüleri ve miktarları","Bulgur, pişmiş","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.1.1 (s.262), Ek 2.1.3 (s.264), Ek 2.1.5 (s.266); Ek 2.3.1 (s.283-284)","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","2026-08-18T20:30:00Z",,,"needs_review","regular = published TÜBER standard portion (90 g) x 2.0. The multiplier is published by TÜBER Ek 2.1.5 footnote 4, which states that a home second-course serving of rice/bulgur/pasta equals 2 standard portions. | small = the published 1-standard-portion garnish weight (90 g), not a derived value. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category grain_cooked), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is TÜBER Ek 2.3.1 per-portion values for ""Bulgur, pişmiş"" (90 g) divided by the portion weight to reach per 100 g. TÜBER prints carbohydrate and fat as whole grams, so the per-100 g values inherit that precision limit."
,"Bulgur, pişmiş (yağ ilavesi hariç)","Bulgur, cooked (added cooking fat excluded)","bulgur-pisirilmis",,"regular","180.0","½ kupa veya 1 silme orta kepçe7 veya 4-5 yemek kaşığı veya 90g6","food-portions/bulgur-pisirilmis/bulgur-pisirilmis--regular--180g.webp","Photorealistic overhead food reference photograph of Bulgur, cooked (added cooking fat excluded), representing the REGULAR controlled portion of 180 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Bulgur, cooked (added cooking fat excluded) are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 90 g / 180 g / 270 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Bulgur, pişmiş",,,,,,,"missing","Same fat caveat as cooked rice. Decide whether the catalog needs a separate 'bol sebzeli bulgur pilavı' record.","TÜBER 2022 Ek 2.1 — Standart porsiyon ölçüleri ve miktarları","Bulgur, pişmiş","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.1.1 (s.262), Ek 2.1.3 (s.264), Ek 2.1.5 (s.266); Ek 2.3.1 (s.283-284)","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","2026-08-18T20:30:00Z",,,"needs_review","regular = published TÜBER standard portion (90 g) x 2.0. The multiplier is published by TÜBER Ek 2.1.5 footnote 4, which states that a home second-course serving of rice/bulgur/pasta equals 2 standard portions. | small = the published 1-standard-portion garnish weight (90 g), not a derived value. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category grain_cooked), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is TÜBER Ek 2.3.1 per-portion values for ""Bulgur, pişmiş"" (90 g) divided by the portion weight to reach per 100 g. TÜBER prints carbohydrate and fat as whole grams, so the per-100 g values inherit that precision limit."
,"Bulgur, pişmiş (yağ ilavesi hariç)","Bulgur, cooked (added cooking fat excluded)","bulgur-pisirilmis",,"large","270.0",,"food-portions/bulgur-pisirilmis/bulgur-pisirilmis--large--270g.webp","Photorealistic overhead food reference photograph of Bulgur, cooked (added cooking fat excluded), representing the LARGE controlled portion of 270 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Bulgur, cooked (added cooking fat excluded) are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 90 g / 180 g / 270 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Bulgur, pişmiş",,,,,,,"missing","Same fat caveat as cooked rice. Decide whether the catalog needs a separate 'bol sebzeli bulgur pilavı' record.","TÜBER 2022 Ek 2.1 — Standart porsiyon ölçüleri ve miktarları","Bulgur, pişmiş","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.1.1 (s.262), Ek 2.1.3 (s.264), Ek 2.1.5 (s.266); Ek 2.3.1 (s.283-284)","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","2026-08-18T20:30:00Z",,,"needs_review","regular = published TÜBER standard portion (90 g) x 2.0. The multiplier is published by TÜBER Ek 2.1.5 footnote 4, which states that a home second-course serving of rice/bulgur/pasta equals 2 standard portions. | small = the published 1-standard-portion garnish weight (90 g), not a derived value. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category grain_cooked), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is TÜBER Ek 2.3.1 per-portion values for ""Bulgur, pişmiş"" (90 g) divided by the portion weight to reach per 100 g. TÜBER prints carbohydrate and fat as whole grams, so the per-100 g values inherit that precision limit."
,"Makarna, haşlanmış","Pasta, boiled","makarna-haslanmis",,"small","75.0",,"food-portions/makarna-haslanmis/makarna-haslanmis--small--75g.webp","Photorealistic overhead food reference photograph of Pasta, boiled, representing the SMALL controlled portion of 75 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Pasta, boiled are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 75 g / 150 g / 225 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Makarna / hazır erişte pişmiş",,,,,,,"missing","Plain boiled pasta only. Sauced pasta needs its own catalog record.","TÜBER 2022 Ek 2.1 — Standart porsiyon ölçüleri ve miktarları","Makarna / hazır erişte pişmiş","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.1.1 (s.262), Ek 2.1.3 (s.264), Ek 2.1.5 (s.266); Ek 2.3.1 (s.283-284)","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","2026-08-18T20:30:00Z",,,"needs_review","regular = published TÜBER standard portion (75 g) x 2.0. The multiplier is published by TÜBER Ek 2.1.5 footnote 4, which states that a home second-course serving of rice/bulgur/pasta equals 2 standard portions. | small = the published 1-standard-portion garnish weight (75 g), not a derived value. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category grain_cooked), rounded to 5 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is TÜBER Ek 2.3.1 per-portion values for ""Makarna / hazır erişte pişmiş"" (75 g) divided by the portion weight to reach per 100 g. TÜBER prints carbohydrate and fat as whole grams, so the per-100 g values inherit that precision limit."
