food_id,canonical_name_tr,canonical_name_en,food_slug,portion_id,size_class,grams,household_measure,image_path,image_prompt,consistency_note,nutrition_source,nutrition_source_id,image_source,image_license,attribution,generation_model,generation_seed,generation_date,visual_status,reviewer_notes,source_name,source_record_id,source_url,source_release,source_page_or_table,nutrition_source_url,retrieved_at,reviewed_by,reviewed_at,verification_status,transformation_notes
,"Patlıcan, közlenmiş, konserve",,"patlican-kozlenmis-konserve",,"small","100.0",,"food-portions/patlican-kozlenmis-konserve/patlican-kozlenmis-konserve--small--100g.webp","Photorealistic overhead food reference photograph of Patlıcan, közlenmiş, konserve, representing the SMALL controlled portion of 100 grams. Served on the exact same matte white bowl used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire bowl visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Patlıcan, közlenmiş, konserve are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white bowl and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The bowl diameter and depth are identical in all three renders; only the fill level changes. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 100 g / 150 g / 230 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","08.02.0005",,,,,,,"missing","","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Patlıcan, pişmiş","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-patlican-kozlenmis-konserve-188","2026-08-18T20:30:00Z",,,"needs_review","regular = the published TÜBER Ek 2.3.1 standard portion for ""Patlıcan, pişmiş"" (150 g). | small = APP-DERIVED from regular using portion policy portion-policy-v2 (category vegetable_cooked), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category vegetable_cooked), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 08.02.0005; no scaling applied."
,"Patlıcan, közlenmiş, konserve",,"patlican-kozlenmis-konserve",,"regular","150.0",,"food-portions/patlican-kozlenmis-konserve/patlican-kozlenmis-konserve--regular--150g.webp","Photorealistic overhead food reference photograph of Patlıcan, közlenmiş, konserve, representing the REGULAR controlled portion of 150 grams. Served on the exact same matte white bowl used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire bowl visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Patlıcan, közlenmiş, konserve are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white bowl and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The bowl diameter and depth are identical in all three renders; only the fill level changes. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 100 g / 150 g / 230 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","08.02.0005",,,,,,,"missing","","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Patlıcan, pişmiş","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-patlican-kozlenmis-konserve-188","2026-08-18T20:30:00Z",,,"needs_review","regular = the published TÜBER Ek 2.3.1 standard portion for ""Patlıcan, pişmiş"" (150 g). | small = APP-DERIVED from regular using portion policy portion-policy-v2 (category vegetable_cooked), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category vegetable_cooked), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 08.02.0005; no scaling applied."
,"Patlıcan, közlenmiş, konserve",,"patlican-kozlenmis-konserve",,"large","230.0",,"food-portions/patlican-kozlenmis-konserve/patlican-kozlenmis-konserve--large--230g.webp","Photorealistic overhead food reference photograph of Patlıcan, közlenmiş, konserve, representing the LARGE controlled portion of 230 grams. Served on the exact same matte white bowl used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire bowl visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Patlıcan, közlenmiş, konserve are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white bowl and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The bowl diameter and depth are identical in all three renders; only the fill level changes. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 100 g / 150 g / 230 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","08.02.0005",,,,,,,"missing","","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Patlıcan, pişmiş","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-patlican-kozlenmis-konserve-188","2026-08-18T20:30:00Z",,,"needs_review","regular = the published TÜBER Ek 2.3.1 standard portion for ""Patlıcan, pişmiş"" (150 g). | small = APP-DERIVED from regular using portion policy portion-policy-v2 (category vegetable_cooked), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category vegetable_cooked), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 08.02.0005; no scaling applied."
,"Yoğurt, kaymaklı",,"yogurt-kaymakli",,"small","150.0",,"food-portions/yogurt-kaymakli/yogurt-kaymakli--small--150g.webp","Photorealistic overhead food reference photograph of Yoğurt, kaymaklı, representing the SMALL controlled portion of 150 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Yoğurt, kaymaklı are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 150 g / 240 g / 360 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","01.02.0019",,,,,,,"missing","","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Yoğurt, tam yağlı","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-yogurt-kaymakli-2","2026-08-18T20:30:00Z",,,"needs_review","regular = the published TÜBER Ek 2.3.1 standard portion for ""Yoğurt, tam yağlı"" (240 g). | small = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_yogurt), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_yogurt), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 01.02.0019; no scaling applied."
,"Yoğurt, kaymaklı",,"yogurt-kaymakli",,"regular","240.0",,"food-portions/yogurt-kaymakli/yogurt-kaymakli--regular--240g.webp","Photorealistic overhead food reference photograph of Yoğurt, kaymaklı, representing the REGULAR controlled portion of 240 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Yoğurt, kaymaklı are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 150 g / 240 g / 360 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","01.02.0019",,,,,,,"missing","","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Yoğurt, tam yağlı","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-yogurt-kaymakli-2","2026-08-18T20:30:00Z",,,"needs_review","regular = the published TÜBER Ek 2.3.1 standard portion for ""Yoğurt, tam yağlı"" (240 g). | small = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_yogurt), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_yogurt), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 01.02.0019; no scaling applied."
,"Yoğurt, kaymaklı",,"yogurt-kaymakli",,"large","360.0",,"food-portions/yogurt-kaymakli/yogurt-kaymakli--large--360g.webp","Photorealistic overhead food reference photograph of Yoğurt, kaymaklı, representing the LARGE controlled portion of 360 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Yoğurt, kaymaklı are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 150 g / 240 g / 360 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","01.02.0019",,,,,,,"missing","","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Yoğurt, tam yağlı","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-yogurt-kaymakli-2","2026-08-18T20:30:00Z",,,"needs_review","regular = the published TÜBER Ek 2.3.1 standard portion for ""Yoğurt, tam yağlı"" (240 g). | small = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_yogurt), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category dairy_yogurt), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 01.02.0019; no scaling applied."
,"ayran, tam yağlı",,"ayran-tam-yagli",,"small","220.0",,"food-portions/ayran-tam-yagli/ayran-tam-yagli--small--220g.webp","Photorealistic overhead food reference photograph of ayran, tam yağlı, representing the SMALL controlled portion of 220 grams. Served on the exact same matte white glass used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire glass visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of ayran, tam yağlı are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white glass and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The glass diameter and depth are identical in all three renders; only the fill level changes. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 220 g / 350 g / 530 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","01.02.0022",,,,,,,"missing","","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Ayran","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-ayran-tam-yagli-700","2026-08-18T20:30:00Z",,,"needs_review","regular = the published TÜBER Ek 2.3.1 standard portion for ""Ayran"" (350 g). | small = APP-DERIVED from regular using portion policy portion-policy-v2 (category beverage_dairy), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category beverage_dairy), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 01.02.0022; no scaling applied."
,"ayran, tam yağlı",,"ayran-tam-yagli",,"regular","350.0",,"food-portions/ayran-tam-yagli/ayran-tam-yagli--regular--350g.webp","Photorealistic overhead food reference photograph of ayran, tam yağlı, representing the REGULAR controlled portion of 350 grams. Served on the exact same matte white glass used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire glass visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of ayran, tam yağlı are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white glass and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The glass diameter and depth are identical in all three renders; only the fill level changes. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 220 g / 350 g / 530 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","01.02.0022",,,,,,,"missing","","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Ayran","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-ayran-tam-yagli-700","2026-08-18T20:30:00Z",,,"needs_review","regular = the published TÜBER Ek 2.3.1 standard portion for ""Ayran"" (350 g). | small = APP-DERIVED from regular using portion policy portion-policy-v2 (category beverage_dairy), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category beverage_dairy), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 01.02.0022; no scaling applied."
,"ayran, tam yağlı",,"ayran-tam-yagli",,"large","530.0",,"food-portions/ayran-tam-yagli/ayran-tam-yagli--large--530g.webp","Photorealistic overhead food reference photograph of ayran, tam yağlı, representing the LARGE controlled portion of 530 grams. Served on the exact same matte white glass used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire glass visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of ayran, tam yağlı are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white glass and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The glass diameter and depth are identical in all three renders; only the fill level changes. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 220 g / 350 g / 530 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","01.02.0022",,,,,,,"missing","","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Ayran","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-ayran-tam-yagli-700","2026-08-18T20:30:00Z",,,"needs_review","regular = the published TÜBER Ek 2.3.1 standard portion for ""Ayran"" (350 g). | small = APP-DERIVED from regular using portion policy portion-policy-v2 (category beverage_dairy), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | large = APP-DERIVED from regular using portion policy portion-policy-v2 (category beverage_dairy), rounded to 10 g steps. This is a product reference size, NOT a value published by TÜBER. | Composition is the published TürKomp per-100 g record 01.02.0022; no scaling applied."
,"Ekmek, beyaz",,"ekmek-beyaz",,"small","25.0",,"food-portions/ekmek-beyaz/ekmek-beyaz--small--25g.webp","Photorealistic overhead food reference photograph of Ekmek, beyaz, representing the SMALL controlled portion of 25 grams. Served on the exact same matte white plate used across the three portion variants. Fixed 85-degree overhead camera, fixed camera distance, neutral light stone tabletop, soft diffused daylight, natural appetizing food color, realistic household serving, entire plate visible, centered composition, no utensils, no hands, no napkin, no packaging, no logo, no text, no watermark, no decorative garnish unless part of the canonical recipe, no dramatic restaurant styling, no hard shadows. Only the amount of food should differ between portion variants. Square 1:1 composition, sRGB, production-quality mobile nutrition tracking reference image.","All three variants of Ekmek, beyaz are the same scene, re-shot with a different amount of food. Identical across small/regular/large: the matte white plate and its diameter, the 85-degree overhead camera angle, the camera distance, the neutral light stone tabletop, the soft diffused daylight, the white balance, and the framing. The plate diameter is identical in all three renders; only the area, height and realistic volume of the food change. The food keeps the same color, cut and cooking state. Nothing is added or removed between variants — no sauce, oil, herb or side item appears in one variant and not another. Portion weights are 25 g / 50 g / 100 g and must read as visibly increasing at a 120-160 px thumbnail size. No weight, number or label may appear in the image itself.","TürKomp — Ulusal Gıda Kompozisyon Veri Tabanı","06.02.0009",,,,,,,"missing","","TÜBER 2022 Ek 2.3.1 — Besinlerin standart porsiyonlarının enerji ve besin ögesi içerikleri","Beyaz ekmek","https://hsgm.saglik.gov.tr/depo/birimler/saglikli-beslenme-ve-hareketli-hayat-db/Dokumanlar/Rehberler/Turkiye_Beslenme_Rehber_TUBER_2022_min.pdf","TÜBER 2022 (baskı tarihi 2023-08-08)","Ek 2.3.1 (s.283-284)","https://turkomp.tarimorman.gov.tr/food-ekmek-beyaz-126","2026-08-18T20:30:00Z",,,"needs_review","regular = the published TÜBER Ek 2.3.1 standard portion for ""Beyaz ekmek"" (50 g). | small = APP-DERIVED as 0.5x the published unit weight (portion policy portion-policy-v2, category bread). Discrete foods are counted in units, not scaled by a factor. This is a product reference size, NOT published by TÜBER. | large = APP-DERIVED as 2.0x the published unit weight (portion policy portion-policy-v2, category bread). Discrete foods are counted in units, not scaled by a factor. This is a product reference size, NOT published by TÜBER. | Composition is the published TürKomp per-100 g record 06.02.0009; no scaling applied."
